Symbol,EntrezGene ID,Description,Imported ID,Fold Change,P-Value,Test Expression,Control Expression,Rank
B3gat2,64544,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",1369755_at,-1.93,0.0015,919.2,1770.9,199
Rreb1,306873,ras responsive element binding protein 1,1388710_at,-1.93,2.70E-09,5889.5,11373.2,199
Ephb6,312275,Eph receptor B6,1378997_at,1.93,9.00E-06,1536.8,795.1,199
Trnp1,688990,TMF1-regulated nuclear protein 1,1376736_at,1.92,0.0011,7885.4,4100.6,204
Ociad2,100361733,OCIA domain containing 2,1375056_at,1.92,0.0088,1645.4,858.7,204
Ptafr,58949,platelet-activating factor receptor,1383372_at,1.92,2.30E-06,2583.7,1343.5,204
Fbln2,282583,fibulin 2,1389533_at,1.91,9.70E-07,1076.4,564.2,207
Ntng1,295382,netrin G1,1376311_at,-1.91,0.0001,2770.2,5299.1,207
Nubpl,299008,nucleotide binding protein-like,1376659_at,1.91,1.70E-05,5139.7,2695.8,207
Cbfb,361391,"core-binding factor, beta subunit",1399033_at,1.91,5.50E-05,14743,7711,207
Wnt16,500047,"wingless-type MMTV integration site family, member 16",1385275_at,-1.91,5.60E-06,320.8,612,207
LOC100909788,100909788,uncharacterized LOC100909788,1390116_at,1.91,0.0092,1666.4,870.6,207
LOC102555911,102555911, ,1396725_at,-1.91,1.70E-08,223.7,427.3,207
Acan,58968,aggrecan,1387355_at,1.9,1.10E-05,2026.5,1068.2,214
RT1-Da,294269,"RT1 class II, locus Da",1370883_at,1.9,0.0016,501.8,264,214
Plch2,313756,"phospholipase C, eta 2",1393435_at,-1.9,2.70E-08,888,1684,214
AI576111,NA, ,1382294_at,-1.9,0.0006,1500.1,2849.2,214
1395672_at,NA, ,1395672_at,1.89,5.90E-07,3399.5,1794.8,218
LOC100912188,100912188,uncharacterized LOC100912188,1379573_at,1.89,1.50E-06,1212,642,218
Tspo,24230,translocator protein,1370249_at,1.89,0.0005,826.6,437.6,218
Rcan2,140666,regulator of calcineurin 2,1389066_at,1.89,9.60E-06,5049.1,2666.4,218
Ntf3,81737,neurotrophin 3,1387267_at,-1.88,0.0011,6974.6,13094.3,222
Fcgr2a,116591,"Fc fragment of IgG, low affinity IIa, receptor",1398246_s_at,1.88,1.10E-05,338.7,179.9,222
Crtac1,171438,cartilage acidic protein 1,1368381_at,-1.88,0.0005,1456.3,2731.4,222
Tmem176a,297077,transmembrane protein 176A,1373204_at,1.88,2.40E-06,2243.1,1192.9,222
Usp1,313387,ubiquitin specific peptidase 1,1373538_at,-1.88,0.0096,699.4,1313.8,222
AA819658,NA, ,1376193_at,1.88,0.0002,1859,991.2,222
Rn.37226,NA, ,1383864_at,-1.88,0.0002,1638.5,3077.6,222
LOC102551473,102551473, ,1390770_at,-1.88,7.20E-06,291.7,547,222
Kank2,100361376,KN motif and ankyrin repeat domains 2,1389281_at,1.87,7.40E-06,2073.1,1107.1,230
Lyz2,25211,lysozyme 2,1370154_at,1.87,0.0007,5191.6,2774.1,230
Cd302,295629,CD302 molecule,1374061_at,-1.87,1.20E-05,996.6,1861.2,230
Klhl4,317196,kelch-like 4 (Drosophila),1393589_at,-1.87,0.0001,143.8,269,230
Mpp6,362359,"membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)",1397949_at,-1.87,3.50E-05,587.5,1096.7,230
Col9a1,305104,"collagen, type IX, alpha 1",1388973_at,1.86,1.70E-06,376.2,202.4,235
Tpd52l1,689256,tumor protein D52-like 1,1372626_at,-1.86,0.0032,969.2,1799,235
BE105417,NA, ,1398381_at,-1.86,3.80E-08,593.7,1106.3,235
Aard,246323,alanine and arginine rich domain containing protein,1370459_at,-1.86,0.0005,1000.2,1858.8,235
Fndc5,260327,fibronectin type III domain containing 5,1372695_at,-1.86,2.00E-05,2762.4,5143.4,235
Podxl2,297433,podocalyxin-like 2,1372048_at,1.86,0.0068,1477.9,794,235
Ss18,361295,"synovial sarcoma translocation, Chromosome 18",1391628_at,1.85,0.0002,370.1,199.7,241
AW532932,NA, ,1374260_at,1.85,0.0113,3631,1963.5,241
AI172598,NA, ,1384484_at,-1.85,1.40E-05,1395.9,2582.8,241
LOC102547703,102547703, ,1378350_at,-1.85,0.0006,4642.3,8570.5,241
AI071674,NA, ,1377266_at,-1.84,3.00E-06,155.7,286.2,245
AI043958,NA, ,1380410_at,1.84,0.0025,524.2,284.8,245
Slfn4,114247,schlafen 3,1387134_at,1.84,0.0245,252.1,137.2,245
Cdkn1c,246060,cyclin-dependent kinase inhibitor 1C,1372299_at,-1.84,0.0077,1467.8,2706.1,245
Ctsz,252929,cathepsin Z,1370885_at,1.84,2.30E-06,849.9,461,245
Vstm2l,362255,similar to chromosome 20 open reading frame 102,1377980_at,-1.84,0.0002,932.6,1711.3,245
Tc2n,500707,"tandem C2 domains, nuclear",1383606_at,-1.84,0.0063,325,598.2,245
Hlf,690286,similar to hepatic leukemia factor,1374709_at,-1.84,2.90E-05,3809.4,7016.4,245
RT1-A2,24974,"RT1 class Ia, locus A2",1370428_x_at,1.83,0.0033,214.8,117.2,253
Apobec1,25383,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",1368270_at,1.83,2.40E-07,181.7,99.3,253
Rem2,64626,RAS (RAD and GEM) like GTP binding 2,1374035_at,1.83,3.10E-05,1258.2,686.2,253
Gng3,114117,"guanine nucleotide binding protein (G protein), gamma 3",1373202_at,1.83,0.0013,3831.5,2097,253
Fcgr2b,289211,"Fc fragment of IgG, low affinity IIb, receptor (CD32)",1371079_at,1.82,6.20E-05,178.6,98.2,257
BE107075,NA, ,1376747_at,-1.82,4.80E-05,1210.4,2201.8,257
Fancd2os,500294,similar to 4931417G12Rik protein,1397287_at,1.82,2.50E-08,510.1,279.6,257
Plekhg3,314249,"pleckstrin homology domain containing, family G (with RhoGef domain) member 3",1375767_at,-1.81,0.0003,1661.3,3013.8,260
Hlf,690286,similar to hepatic leukemia factor,1385585_at,-1.81,6.30E-07,3864.2,6997.3,260
LOC302022,302022,similar to nidogen 2 protein,1381434_s_at,-1.81,5.20E-07,248.7,451.3,260
Cyb561,303601,cytochrome b-561,1398383_at,1.81,0.0006,6225.3,3430.1,260
BF389666,NA, ,1383353_at,-1.81,3.40E-05,483.5,874.6,260
BF404113,NA, ,1396884_at,-1.81,0.0005,754.3,1363,260
Fosb,100360880,FBJ osteosarcoma oncogene B,1373759_at,1.81,4.10E-06,1320.3,728.4,260
BF398618,NA, ,1390727_at,1.8,2.90E-05,2351,1304,267
1393638_at,NA, ,1393638_at,1.8,6.00E-05,176.5,98.1,267
C1r,312705,"complement component 1, r subcomponent",1383241_at,1.8,1.30E-07,2578.4,1431.7,267
BF388224,NA, ,1379175_at,-1.8,0.0023,1595,2878.4,267
Egfr,24329,epidermal growth factor receptor,1370830_at,-1.8,0.0009,122.5,221,267
Ptprn,116660,"protein tyrosine phosphatase, receptor type, N",1370362_at,1.8,0.001,13657.9,7595.9,267
Ifitm10,293632,similar to RIKEN cDNA 6330512M04 gene,1375066_at,1.8,2.60E-06,3658.2,2037.6,267
Ftx,302873,similar to BMI1-like protein,1393308_at,-1.79,2.20E-06,3888.4,6967.1,274
AW532329,NA, ,1394534_at,-1.79,0.0166,467.4,834.3,274
AI144643,NA, ,1397871_at,-1.79,5.60E-05,2495.8,4463,274
Extl1,313610,exostoses (multiple)-like 1,1377472_at,-1.79,7.00E-07,777.8,1391,274
Magi1,500261,"membrane associated guanylate kinase, WW and PDZ domain containing 1",1381871_at,-1.79,5.50E-06,3789.7,6799.8,274
BF281697,NA, ,1374015_at,1.79,7.40E-05,647.8,361.1,274
Arrdc2,306344,arrestin domain containing 2,1383608_at,-1.78,3.70E-05,5965.9,10639.6,280
Tyrobp,361537,Tyro protein tyrosine kinase binding protein,1374730_at,1.78,9.40E-08,279.8,157.2,280
Plxnc1,362873,plexin C1,1376872_at,-1.78,2.70E-07,456.6,810.7,280
Tnxb,415089,tenascin XB,1388145_at,-1.78,5.10E-05,281,499,280
Msrb3,680036,similar to methionine sulfoxide reductase B3 isoform 2,1383193_at,-1.78,1.10E-05,363.2,646.2,280
Msn,81521,moesin,1371575_at,1.78,6.30E-05,1302.3,730.1,280
Sox11,84046,SRY (sex determining region Y)-box 11,1387275_at,1.78,5.20E-07,187.6,105.3,280
Npy,24604,neuropeptide Y,1387154_at,1.77,1.00E-04,3940.9,2225.5,287
Cdh22,29182,cadherin 22,1388045_a_at,1.77,1.50E-07,1344.1,757.8,287
Rnf182,498726,ring finger protein 182,1393547_at,-1.77,0.0001,3035.2,5380.8,287
Svep1,685899,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",1385637_at,-1.77,1.40E-05,3166.1,5596.2,287
AI407487,NA, ,1373110_at,1.77,6.90E-07,516.3,292.2,287
Tnfaip8,307428,"tumor necrosis factor, alpha-induced protein 8",1398407_at,-1.76,1.40E-06,1976.7,3487.3,292
Mal2,362911,"mal, T-cell differentiation protein 2",1372755_at,-1.76,0.0037,10766.3,18990.1,292
BE109405,NA, ,1375653_at,-1.76,5.20E-06,396.9,699.4,292
Ramp1,58965,receptor (G protein-coupled) activity modifying protein 1,1367791_at,1.76,0.0107,1932.6,1097.6,292
Bcl2l11,64547,BCL2-like 11 (apoptosis facilitator),1388742_at,-1.76,2.90E-06,516,906.2,292
Laptm5,89783,lysosomal protein transmembrane 5,1368006_at,1.76,2.20E-08,724.1,411.9,292
RT1-DMb,294273,"RT1 class II, locus DMb",1370882_at,1.76,5.70E-08,1105.5,627.2,292
Anxa3,25291,annexin A3,1395313_s_at,1.75,0.0005,813.6,465.2,299
