Symbol,EntrezGene ID,Description,Imported ID,Fold Change,Meta-qvalue,Rank
MTSS1L,92154,metastasis suppressor 1-like,ABBA-1,-37.0413,0.0002,183
AP3B1,8546,"adaptor-related protein complex 3, beta 1 subunit",AP3B1,-37.0131,0.0006,184
OSBPL9,114883,oxysterol binding protein-like 9,OSBPL9,-37.0092,0.0002,185
SOX3,6658,SRY (sex determining region Y)-box 3,SOX3,-37.0002,0.0006,186
MERTK,10461,c-mer proto-oncogene tyrosine kinase,MERTK,-36.9729,0.0006,187
ZNF81,347344,zinc finger protein 81,ZNF81,-36.9601,0.0006,188
TFPI,7035,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor),TFPI,-36.948,0.0006,189
SRI,6717,sorcin,SRI,-36.8753,0.0006,190
RBM38,55544,RNA binding motif protein 38,RBM38,-36.8704,0.0006,191
ALDH1L1,10840,"aldehyde dehydrogenase 1 family, member L1",ALDH1L1,-36.808,0.0006,192
BBOX1,8424,"butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1",BBOX1,-36.8077,0.0006,193
VIM,7431,vimentin,VIM,-36.7956,0.0006,194
EPHB1,2047,EPH receptor B1,EPHB1,-36.7925,0.0006,195
PAX6,5080,paired box 6,PAX6,-36.7921,0.0006,196
F3,2152,"coagulation factor III (thromboplastin, tissue factor)",F3,-36.7379,0.0006,197
ACSBG1,23205,acyl-CoA synthetase bubblegum family member 1,ACSBG1,-36.7224,0.0006,198
LSS,4047,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)",LSS,-36.6538,0.0006,199
EDNRB,1910,endothelin receptor type B,EDNRB,-36.6114,0.0006,200
TREX1,11277,three prime repair exonuclease 1,TREX1,-36.5775,0.0006,201
PLD2,5338,phospholipase D2,PLD2,-36.565,0.0006,202
STOM,2040,stomatin,STOM,-36.5639,0.0006,203
CADM1,23705,cell adhesion molecule 1,CADM1,-36.5261,0.0006,204
PTN,5764,pleiotrophin,PTN,-36.5093,0.0006,205
CLCN2,1181,"chloride channel, voltage-sensitive 2",CLCN2,-36.4564,0.0006,206
GTSE1,51512,G-2 and S-phase expressed 1,GTSE1,-36.4533,0.0006,207
SDC2,6383,syndecan 2,SDC2,-36.3868,0.0006,208
TLE1,7088,"transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)",TLE1,-36.379,0.0006,209
S100A1,6271,S100 calcium binding protein A1,S100A1,-36.355,0.0007,210
HADHB,3032,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit",HADHB,-36.3238,0.0007,211
WWC1,23286,WW and C2 domain containing 1,WWC1,-36.2969,0.0007,212
ITGB4,3691,"integrin, beta 4",ITGB4,-36.2697,0.0007,213
