Symbol,Fold Change,P-Value,Rank
IPCEF1,1.0909,1.44E-51,324
SERINC3,1.0901,4.66E-72,325
PKM,1.0899,1.31E-68,326
REEP5,1.0896,1.85E-38,327
HOPX,1.0894,5.81E-147,328
8-Sep,1.0894,8.54E-77,329
LINGO1,1.0893,1.40E-32,330
AC012501.2,1.0891,6.19E-09,331
RPS2,1.0891,1.02E-36,332
TAGLN3,1.089,4.48E-100,333
CTNNB1,1.0887,3.55E-85,334
LHFP,1.0886,1.32E-32,335
FMN1,1.0883,1.33E-40,336
NPTX2,1.0882,1.21E-54,337
EPHB1,1.0881,3.70E-34,338
MAGEH1,1.0881,9.46E-85,339
EID1,1.0879,9.32E-58,340
TCEAL2,1.0878,5.29E-25,341
TKT,1.0878,3.37E-174,342
LRRN3,1.0876,2.55E-44,343
PDZRN3,1.0875,4.43E-42,344
PCDH17,1.0873,3.30E-71,345
ATP11C,1.0873,2.69E-147,346
GOLGA7B,1.0873,8.88E-102,347
CHN2,1.0871,1.50E-173,348
BEX3,1.0871,5.66E-48,349
CALM3,1.0871,5.22E-15,350
NGEF,1.087,9.54E-33,351
C9orf16,1.0869,4.60E-115,352
EMX2,1.0867,2.71E-11,353
SULT4A1,1.0865,4.77E-130,354
CTD-2335A18.1,1.0865,3.07E-62,355
GPD2,1.0863,5.40E-68,356
FXYD7,1.0862,7.94E-148,357
ARL6IP5,1.0862,3.77E-53,358
IGSF8,1.0861,2.94E-109,359
RP11-1086I4.2,1.086,8.96E-75,360
ARRDC4,1.0858,3.55E-90,361
LANCL1,1.0857,5.27E-42,362
VSNL1,1.0856,1.95E-37,363
TUBB4B,1.0852,2.39E-89,364
MGAT5,1.0852,2.12E-44,365
PTGFR,1.085,1.53E-36,366
OXCT1,1.0847,9.31E-157,367
CALB1,1.0846,1.78E-13,368
PDE1A,1.0846,7.22E-35,369
NEFM,1.0845,1.35E-07,370
PARK7,1.0844,7.06E-160,371
HDAC2,1.0843,6.00E-114,372
PRKAR1A,1.0843,1.50E-54,373
RGS8,1.0842,2.14E-205,374
GABRA1,1.0841,4.20E-39,375
PNMA2,1.0841,1.57E-22,376
PLD5,1.084,1.74E-06,377
